Reference Number,Question,Yes/No or Scale,Name of Assessment (moment) that this cues?,Is this a preset recurring question to ask?,recurrance condition,recurring timeframe
71,Do you feel stress due to allergies?,yes/no,Allergies (Mental),no,,N/A
72,In the past two weeks have you had an allergic reaction?,yes/no,Allergies (Check-In),yes,,every two weeks
73,In the past two weeks have you been sleeping through the night?,yes/no,Sleep (Check-in),yes,,every two weeks
74,Do you have a sleep partner?,yes/no,Sleep (Environment),no,,N/A
75,"In the past two weeks, have you disrupted someone else's sleep?",yes/no,Sleep (Relationships),yes,,every two weeks
76,"In the past two weeks, have you had disrupted sleep?",yes/no,Sleep (Check-In),yes,,every two weeks
77,Is sleep important to you?,yes/no,Sleep (Check-In),no,,N/A
78,Are there certain routines or things you do to fall asleep?,yes/no,Sleep (Environment),no,,N/A
79,Do you use a sleep tracker?,yes/no,Sleep (?)*,no,,N/A
80,"In the past two weeks, have you had bad dreams or nightmares?",yes/no,Sleep (Dreams)*,yes,,every two weeks
81,Do you have questions or concerns about your sexual health?,yes/no,Sexual Health (Check-In),no,,N/A
82,Have you sought support specifically for your sexual or reproductive health?,yes/no,Sexual Health (Check-In),no,,N/A
83,Do you have questions about your sexuality?,yes/no,Sexual Health (Check-In),no,,N/A
84,Do you consider dieting the only way to manage your weight?,yes/no,Diet (Weight),no,,N/A
85,Do you frequently try new diets?,yes/no,Diet (Activity),yes,,other
86,Do you often find yourself afraid?,scale,Fear (Check-In),no,,N/A
87,Do you fear the unknown?,scale,Fear (Check-In),no,,N/A
92,Do you find yourself constantly comparing your body to others?,yes/no,Anxiety (Self Esteem),yes,,other
93,Do you have a negative self image?,yes/no,Anxiety (Self Image),yes,,other
94,Do you have a positive self image?,yes/no,Anxiety (Self Image),yes,,other
95,In the past two weeks have you had a positive outlook on life?,yes/no,Mood (Confidence)*,yes,,every two weeks
96,Do you consider yourself a creative person?,scale,Self Image (Creativity),no,,N/A
97,Is there a history of substance abuse and addiction in your family?,yes/no,Addiction (Family),no,,N/A
98,Do you have a history of substance abuse?,yes/no,Addiction (Check-In),no,,N/A
99,"In the last two weeks, have you used drugs?",yes/no,Consumption (Check-In)*,yes,,every two weeks
100,Do you workout to achieve a certain body type?,yes/no,Self Image (Activity),no,,N/A
101,Are there parts of your body you love?,yes/no,Self Image (Confidence),yes,,other
102,Are there parts of your body you hate?,yes/no,Self Image (Confidence),yes,,other
103,In the past two weeks have you self-medicated?,yes/no,Consumption (Medication),yes,,every two weeks
104,Do you regularly use painkillers to manage your pain?,yes/no,Consumption (Medication),no,,N/A
105,Do you have a disability or mobility issue?,yes/no,Disability (Check-In),no,,N/A
106,In the past two weeks have you felt excluded from activities or communities because of a disability?,yes/no,Disability (Activity),yes,,every two weeks
107,In the past two weeks have you encountered a situation that didn't account for your disability?,yes/no,Disability (Environment),yes,,every two weeks
108,Are there places you cannot go due to accessibility issues?,yes/no,Disability (Environment),no,,N/A
109,Do people treat you differently because of your disability?,yes/no,Disability (Relationships),no,,N/A
110,Do you track your diet with an app?,yes/no,Diet (Technology)*,no,,N/A
111,Do you use an activity tracker?,yes/no,Physical (Technology)*,no,,N/A
112,In the past two weeks have you accessed your doctor's patient portal?,yes/no,Physical (Check-In)*,yes,,every two weeks
113,Do you work out regularly?,yes/no,Physical (Activity),no,,N/A
114,In the past two weeks have you seen you primary care physician?,yes/no,Physical (Medical),yes,,every two weeks
115,In the past two weeks have you seen a specialist?,yes/no,Physical (Medical),yes,,every two weeks
116,Did you dream last night?,yes/no,Dream (Wake-up),yes,,daily
117,Have you ever tried to plan your dreams for the night?,yes/no,Dream (Before Sleep),no,,N/A
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
