Assessment Name -  Topic (Sub Category),Prompt,Duration (seconds),Order
Talk to Me: Being Social,Describe your feelings leading up to a social event or meeting.,60,2
Talk to Me: Being Social,Describe a time where you avoided people or an event that you once looked forward to.,60,3
,,,
Talk to Me: Self-Esteem,Describe the good qualities you recognize in yourself.,60,1
Talk to Me: Self-Esteem,What successes are you currently striving for?,60,2
Talk to Me: Self-Esteem,What do you love most about yourself? ,60,3
,,,
Talk to Me: Being Confident,Describe a situation in the past two weeks you’ve felt confident.,60,1
Talk to Me: Being Confident,Describe a time where a lack of confidence affected some aspect of your life.,60,2
,,,
,,,
Talk to Me: Fear,Describe some of the fears you had as a child.,60,1
Talk to Me: Fear,Describe some of the fears you have as an adult.,60,2
Talk to Me: Fear,When’s the last time you experienced fear?,60,3
Talk to Me: Fear,What actions have you taken in response to your fears?,60,4
,,,
What am I afraid of?,Describe the feeling of the fear that you’ve experienced.,60,1
What am I afraid of?,Describe a fear you have of something that you may not have experienced in real life.,60,2
What am I afraid of?,What do you think the source of your fears is?,60,3
,,,
Wake-up!,Describe what you remember from your dreams last night.,60,1
Wake-up!,Share what happened in the dream. Who was in it?  Where were you?  What was the plot?,60,2
Wake-up!,Have you had this dream before?,60,3
Wake-up!,How did this dream make you feel?,60,4
,,,
Was that a Dream?!?,Choose a recent dream that sticks in your mind.,60,1
Was that a Dream?!?,Share what happened in the dream. Who was in it?  Where were you?  What was the plot?,60,2
Was that a Dream?!?,Have you had this dream before?,60,3
Was that a Dream?!?,What do you think it means?,60,4
,,,
"Tonight, I want to Dream","If you could choose to dream about something, what would it be and why?",,
"Tonight, I want to Dream",Who else would be in the dream?,,
"Tonight, I want to Dream",Would you make the dream realistic feeling of fantasy? Why?,,
,,,
Talk to Me: Being Creative,Do you experience any barriers when being or attempting to be creative?,60,1
Talk to Me: Being Creative,"(Other than now), describe a time in the last two weeks that you’ve been creative.",60,2
,,,
Talk to Me: Disability Challenges ,Do you have a seen or unseen disability?,60,1
Talk to Me: Disability Challenges ,Describe this disability and how it affects your daily life.,60,2
Talk to Me: Disability Challenges ,What would you tell someone who doesn’t understand?,60,3
,,,
Living with My Disability,Describe how your disability affects your daily life.,60,1
Living with My Disability,Describe how your disability affects your day-to-day mental health.,60,2
Living with My Disability,What do you need that you aren’t currently getting?,60,3
,,,
My Disability & My World,Describe the ways in which where you live does not account for your disability.,60,1
My Disability & My World,Describe a situation where you felt excluded due to a venue’s inaccessibility.,60,2
My Disability & My World,Describe your perfect accessible venue. How does that venue make you feel?,60,3
,,,
Talk to Me: Addiction ,Describe your process of self-medication. When did it begin?,60,1
Talk to Me: Addiction ,"Describe the feeling in your body before, during, and in the aftermath.",60,2
,,,
Talk to Me: Family Addiction ,Describe your family history as it relates to substance abuse and addiction.,60,1
Talk to Me: Family Addiction ,Describe your family history with addiction as well as your feelings around it.,60,2
,,,
Talk to Me: Allergies,Describe your experience with allergies.,60,1
Talk to Me: Allergies,Describe a time where an allergy has affected your behavior or abilities to function.,60,2
Talk to Me: Allergies,Describe your feelings during the physical effects of an allergic reaction.,60,3
,,,
Happy Moments ,Describe three of your happiest moments. What makes them happy for you?,180,1
,,,
Being Me ,What personality traits do you love most about yourself?,180,1
,,,
Reputation,"When you’re not around, what do you hope people are saying about you?",180,1
,,,
Connection Counts,What bothers you about other people? Describe the opposite of that behavior.,180,1
,,,
Positive Me,Can you identify any of your own bothersome behaviours? Describe the opposite of those behaviors.,180,1
,,,
"ToMe, ForMe",Describe and experience that happened TO you. Now describe it again as though it happened FOR you.,180,1
,,,
Feeling Proud,Describe a decision you’ve made that makes you proud. Why does it make you proud?,180,1
,,,
Regrets,Describe a decision you’ve made that you’re not proud. What are your feelings surrounding that decision?,180,1
,,,
Settling for It,What does ‘settling’ mean to you? Describe any areas in your life where you feel like you are settling.,180,1
,,,
Future Me,Describe the happiest possible future version of yourself. In one year. In five years.,180,1
,,,
I'm a Superhero!,Describe the qualities you possess that can help you overcome any obstacles.,180,1
,,,
My Kryptonite,Describe all the obstacles that you think are preventing you from achieving your dreams.,180,1
,,,
Dream Big,Describe your dream for a better future. What problems do you want to solve and who do you want to help?,180,1
,,,
Free Share (I'm a Problem Solver) ,"Describe what you believe are the biggest problems in the world today. From small steps to longer term action, what can you do to address these problems?",180,1
,,,
Free Share (I'm a Gift) ,What gifts do you possess that can help make the world a better place?,180,1
,,,
Free Share (Stand up!) ,What do you stand for and what do you stand against? Describe how this affects your day-to-day activity.,180,1
,,,
Free Share (Will Anyone Remember Me?) ,Do you want to leave a legacy? Describe what legacy means to you and how you’d like to be remembered.,180,1
,,,
Free Share (Tomorrow is Going to be Great!) ,Imagine the positive future and every one of your goals for the world coming true. Talk about the impact that will have on the world once it has come to be.,180,1
,,,
Free Share (Finding Happy in Angry),How would you describe a problem with your life that makes you angry? Now how would you describe the opposite of this problem?,180,1
,,,
Free Share (Connection Counts),How would you describe a problem with your community that makes you angry? Now how would you describe the opposite of this problem?,180,1
,,,
Free Share (Connection Counts),How would you describe a problem with your family that makes you angry? Now how would you describe the opposite of this problem?,180,1
,,,
Free Share (Connection Counts),How would you describe a problem with the world that makes you angry? Now how would you describe the opposite of this problem?,180,1
,,,
Free Share (Positive Me),"Other than your needs being met, what do you need to make you feel fulfilled?",180,1
,,,
Free Share (Feeling Proud),What makes a hero or role model? Describe a hero or role model and explain what it is you admire about them.,180,1
,,,
Free Share (Being Me) ,Do you believe you have the qualities of a hero or role model? Describe those qualities.,180,1
,,,
Free Share (Keep Learning) ,Imagine you can now communicate with the 8 year old you. What would you tell them? What would make them happy about who they’ve become? What would make them sad?,180,1
,,,
Free Share (Happy Moments) ,Describe the activities that give you the most energy.,180,1
,,,
Free Share (Connection Counts),Describe the people that give you the most energy.,180,1
,,,
Free Share (Happy Moments) ,Describe the topics that thinking about or discussing give you the most energy.,180,1
,,,
Free Share (Future Me),Describe some situations where you wish you could be doing more to help.,180,1
,,,
Free Share (Feeling Proud),Describe a situation where you did do more to help.,180,1
,,,
Free Share (Keep Learning) ,"If you had to quit your current job and begin a new career path, which career would you choose?",180,1
,,,
Free Share (Happy Moments) ,What choices have you recently made that you are happy with?,180,1
,,,
Free Share (Regrets),What choices have you recently made that you are not happy with?,180,1
,,,
Free Share (Reputation),"Assuming stagefright was not an issue, If you had to give a speech on any topic to a large group, what topic would you feel most comfortable discussing.",180,1
,,,
Free Share (Happy Moments) ,How often do people thank you? Describe as many situations as you can where someone thanked you for something.,180,1
,,,
Free Share (Connection Counts),How often do you thank people? Describe as many situations as you can where you thanked someone for something (and truly meant it).,180,1
,,,
Free Share (Reputation),How often do people compliment you? Describe as many situations as you can where someone complimented you on something.,180,1
,,,
Free Share (Connection Counts),How often do you compliment people? Describe as many situations as you can where you complimented someone on something (and truly meant it).,180,1
,,,
Keep Learning,What do you think you can teach others?,180,1
