Moment ID,Moment Name - Topic,Prompt,Duration (seconds),Order,Type of Moment,Primary Topic,Ladders to Topic (1),Ladders to Topic (2),Ladders to Topic (3),Ladders to Topic (4)
M00013,Living With: Embarrassment,Describe the feeling in your body of being embarrassed.,60,2,Living with,Anxiety,Stress,Relationships,,
M00013,Living With: Embarrassment,Describe the last time you were embarrassed. Where were you? Who were you with? What happened?,180,3,Living with,Anxiety,Stress,Relationships,,
M00014,Managing: Embarrassment,Describe the coping mechanisms you use to work through feelings of embarrassment.,60,1,Managing,Anxiety,Stress,Being Social,Relationships,Self-esteem
M00014,Managing: Embarrassment,Describe a time where you felt you were able to overcome being nervous around others.,120,2,Managing,Anxiety,Stress,Being Social,Relationships,Self-esteem
M00015,Talk to Me: Mood,Describe your overall mood today.,60,1,Talk to Me,Mood,Feelings,Thoughts,-,-
M00015,Talk to Me: Mood,Describe how today’s mood is different or the same than on other days.,60,2,Talk to Me,Mood,Feelings,Thoughts,-,-
M00015,Talk to Me: Mood,"What do your different moods feel, look, and sound like?",120,3,Talk to Me,Mood,Feelings,Thoughts,-,-
M00016,Explore: Sadness,Describe your relationship with sadness.,60,1,Explore,Mood,Feelings,Thoughts,Exercise,Being Social
M00016,Explore: Sadness,How does your body feel when your sad?,30,2,Explore,Mood,Feelings,Thoughts,Exercise,Being Social
M00016,Explore: Sadness,Can you let yourself cry? What kinds of cries do you have?,60,3,Explore,Mood,Feelings,Thoughts,Exercise,Being Social
M00016,Explore: Sadness,Describe some things you can do that make you feel better when you've been sad.,90,4,Explore,Mood,Feelings,Thoughts,Exercise,Being Social
M00017,Sadness is Normal,Have you felt sad in the last two weeks?,30,2,(free form name),Mood,Feelings,Thoughts,,
M00017,Sadness is Normal,What triggers sadness for you?,60,3,(free form name),Mood,Feelings,Thoughts,,
M00017,Sadness is Normal,How does this impacts your day-to-day life?,90,1,(free form name),Mood,Feelings,Thoughts,,
M00018,Working Through: Irritation,What thoughts and physical feelings do you have when you're irritated?,60,1,(free form name),Mood,Feelings,Thoughts,Physiology,
M00018,Working Through: Irritation,"Describe a time; who were you with, what were you doing? what triggered your irritation?",60,2,(free form name),Mood,Feelings,Thoughts,Physiology,
M00019,Feeling Down,When’s the last time you were sad?,30,1,(free form name),Mood,Feelings,Thoughts,Physiology,Relationships
M00019,Feeling Down,Where were you and who were you with the last time you were sad?,60,2,(free form name),Mood,Feelings,Thoughts,Physiology,Relationships
M00019,Feeling Down,What physical sensations do you feel in your body when you're sad?,30,3,(free form name),Mood,Feelings,Thoughts,Physiology,Relationships
M00020,My Interactive Self,Describe a person who can affect your mood. What is your relationship?,60,1,(free form name),Mood,Relationships,Feelings,Thoughts,-
M00020,My Interactive Self,"For better or worse, how do certain people affect you more than others?",60,2,(free form name),Mood,Relationships,Feelings,Thoughts,-
M00020,My Interactive Self,How would others describe you when you're struggling with your mood?,60,3,(free form name),Mood,Relationships,Feelings,Thoughts,-
M00021,Reflect On: My Feelings,Describe the level to which you are afraid of your feelings.,60,1,Reflect on,Mood,Feelings,Fear,Thoughts,Confidence
M00021,Reflect On: My Feelings,To what extent do you feel that you are in control of your feelings?,60,2,Reflect on,Mood,Feelings,Fear,Thoughts,Confidence
M00021,Reflect On: My Feelings,Do you believe that other people are able to handle their feelings better than you?,60,3,Reflect on,Mood,Feelings,Fear,Thoughts,Confidence
M00022,Reflect On: Expressing Feelings,Do you feel comfortable expressing your feelings?,30,1,Reflect on,Feelings,Mood,Self-love,Spirituality,Self-esteem
M00022,Reflect On: Expressing Feelings,Who do you express feelings freely to?,60,2,Reflect on,Feelings,Mood,Self-love,Spirituality,Self-esteem
M00022,Reflect On: Expressing Feelings,Do you believe people are able to handle your authentic self?,90,3,Reflect on,Feelings,Mood,Self-love,Spirituality,Self-esteem
M00022,Reflect On: Expressing Feelings,When have you had to sensor yourself? How has that impacted you?,120,4,Reflect on,Feelings,Mood,Self-love,Spirituality,Self-esteem
M00023,My Emotional Self,To what extent do you feel your emotions are acting against you?,60,1,(free form name),Mood,Thoughts,Feelings,Confidence,Stress
M00023,My Emotional Self,To what extent do you feel that painful memories prevent you from living your best life?,60,2,(free form name),Mood,Thoughts,Feelings,Confidence,Stress
M00023,My Emotional Self,To what extent do you feel your emotions are obstacles to your success.,90,3,(free form name),Mood,Thoughts,Feelings,Confidence,Stress
M00023,My Emotional Self,Describe a time where you felt that you emotions were obstacles to your actions.,120,4,(free form name),Mood,Thoughts,Feelings,Confidence,Stress
M00024,Project: Mood,Consider making a playlist of songs that make you happy to hear. What is it about these songs that make you happy?,300,1,Project,Mood,Creativity,Thoughts,Purpose,
M00025,Talk to Me: Pain,"In the last two weeks, have you been in physical pain?",30,1,Talk to Me,Pain,Mood,Physiology,Exercise,
M00025,Talk to Me: Pain,Describe the details of the pain. Where is it? How long does it last?,120,2,Talk to Me,Pain,Mood,Physiology,Exercise,-
M00025,Talk to Me: Pain,Describe your mood during this period where you've experienced physical pain.,120,3,Talk to Me,Pain,Mood,Physiology,Exercise,-
M00026,Managing: Pain,Does pain or discomfort limit your movement or impact your mood?,60,1,Managing,Pain,Mood,Feelings,Thoughts,Physiology
M00026,Managing: Pain,Share how your pain impacts you directly. How does it impact you indirectly?,120,2,Managing,Pain,Mood,Feelings,Thoughts,Physiology
M00026,Managing: Pain,What is your response to pain? What actions do you take or not take?,60,3,Managing,Pain,Mood,Feelings,Thoughts,Physiology
M00027,Living with Pain,Do you have a routine that helps you manage your chronic pain?,30,1,Living with,Pain,Mindfulness,Physiology,,
M00027,Living with Pain,Describe some of the activities you engage in.,60,2,Living with,Pain,Mindfulness,Physiology,,
M00027,Living with Pain,Describe things that are and aren't working with your routine.,60,3,Living with,Pain,Mindfulness,Physiology,,
M00028,Explore: Mind-Body,Do you see any connection between your physical pain and any emotional discomfort?,90,1,Explore,Pain,Stress,Physiology,,
M00028,Explore: Mind-Body,To what extent does stress play a role in your pain?,90,2,Explore,Pain,Stress,Physiology,,
M00028,Explore: Mind-Body,How do you hold stress in your body?,90,3,Explore,Pain,Stress,Physiology,,
M00029,Reflect On: Mind-Body,What patterns of thought increase your pain?,60,1,Reflect on,Pain,Dreams,Mindfulness,Thoughts,Physiology
M00029,Reflect On: Mind-Body,"Now imagine the opposite of that. Can you see yourself pain free, even for just a short moment?",60,2,Reflect on,Pain,Dreams,Mindfulness,Thoughts,Physiology
M00029,Reflect On: Mind-Body,What would that feel like? What would you do? How would your life change?,120,2,Reflect on,Pain,Dreams,Mindfulness,Thoughts,Physiology
M00030,Talk to Me: Stress,Can you identify things that are stressful for you?,60,1,Talk to Me,Stress,Anxiety,Mood,Thoughts,Pain
M00030,Talk to Me: Stress,Describe what stresses you.,120,2,Talk to Me,Stress,Anxiety,Mood,Thoughts,Pain
M00030,Talk to Me: Stress,Where do you feel stress in your body when you think of these things?,60,3,Talk to Me,Stress,Anxiety,Mood,Thoughts,Pain
M00031,Living with Stress,To what extent do your thoughts affect your feelings?,60,1,Living with,Stress,Thoughts,Mindfulness,Mood,
M00031,Living with Stress,Describe a time where you got caught up in your thoughts.,120,2,Living with,Stress,Thoughts,Mindfulness,Mood,
M00031,Living with Stress,Describe a time where negative thoughts turned out to not be true.,60,3,Living with,Stress,Thoughts,Mindfulness,Mood,
M00032,Reflect On: Stress,How do you manage stress?,120,1,Reflect on,Stress,Mindfulness,Self-love,Identity,
M00032,Reflect On: Stress,What do you do to avoid stress?,60,2,Reflect on,Stress,Mindfulness,Self-love,Identity,
M00032,Reflect On: Stress,Describe a time you knew you were going to be in a stressful situation and the actions you took to help yourself cope.,180,3,Reflect on,Stress,Mindfulness,Self-love,Identity,
M00033,Managing Stress,To what extent are you able to control your reaction to stress?,60,1,Managing,Stress,Thoughts,Mindfulness,,
M00033,Managing Stress,Describe a time where you were able to let go of stressful thinking.,90,2,Managing,Stress,Thoughts,Mindfulness,,
M00033,Managing Stress,To what extent do you think 'positive thinking' is a helpful tool to have?,120,3,Managing,Stress,Thoughts,Mindfulness,,
M00034,Talk to Me: Career,Describe your current occupation and a typical day.,180,1,Talk to Me,Career,Mood,-,-,-
M00034,Talk to Me: Career,Describe how your work affects your mood,90,2,Talk to Me,Career,Mood,-,-,-
M00034,Talk to Me: Career,Describe a time where your work negatively affected you.,90,3,Talk to Me,Career,Mood,-,-,-
M00035,Reflect on Job Satisfaction,"What would you change about your current work situation, if you could?",120,1,Reflect on,Career,Dreams,Purpose,Creativity,-
M00035,Reflect on Job Satisfaction,Share what you would like to be doing and why.,180,2,Reflect on,Career,Dreams,Purpose,Creativity,-
M00035,Reflect on Job Satisfaction,"What is your reaction to the question, “What did you want to be when you grew up?”",60,3,Reflect on,Career,Dreams,Purpose,Creativity,-
M00036,My Ambitious Self,What motivates you in your career?,60,1,(free form name),Career,Passion,Confidence,-,-
M00036,My Ambitious Self,How has your career motivation changed over time?,120,2,(free form name),Career,Passion,Confidence,-,-
M00036,My Ambitious Self,What would motivate you to make the career changes you most desire?,120,3,(free form name),Career,Passion,Confidence,-,-
M00037,Reflect on Retirement,What feelings do you have with respect to retirement?,60,1,Reflect on,Career,Retirement,,,
M00037,Reflect on Retirement,Describe any worries you have about retirement.,60,2,Reflect on,Career,Retirement,,,
M00037,Reflect on Retirement,Describe your ideal retirement.,120,3,Reflect on,Career,Retirement,,,
M00038,Project: Resume,"Consider updating your resume, even if you're not planning on looking for a job. Does your list of accomplishments match up with where you want to go?",1200,1,Project,Career,Self-love,Confidence,Identity,-
M00038,Project: Resume,Write out a list of companies you'd like to work for. Now look at their websites. Are any hiring right now?,600,2,Project,Career,Self-love,Confidence,Identity,-
M00039,Talk to Me: Aging,Describe your thoughts about aging.,60,1,Talk to Me,Feelings,Thoughts,Identity,,
M00039,Talk to Me: Aging,To what extent do you fear 'getting old',60,2,Talk to Me,Feelings,Thoughts,Identity,,
M00039,Talk to Me: Aging,Describe how you feel physically today compared to 5 years ago? 10 years ago? 20 years ago,120,3,Talk to Me,Feelings,Thoughts,Identity,,
M00040,Talk About My Generation,Describe how you feel about your current generation in relation to other generations.,90,2,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00040,Talk About My Generation,What do people older or younger than you not understand about your current experience?,90,4,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00040,Talk About My Generation,Describe your ideal age and the factors that make that the case.,120,6,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00040,Talk About My Generation,Do you feel hopeful that the opportunities you seek will be available to you in the future?,60,5,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00040,Talk About My Generation,Do you think there are opportunities for people your age now?,30,3,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00040,Talk About My Generation,Do you find yourself looking forward or backwards in time right now?,60,1,(free form name),Mood,Thoughts,Purpose,Retirement,Career
M00041,Talk to Me: Sleep,Describe your feelings about sleep. What kind of value do you place on it?,60,1,Talk to Me,Sleep,Feelings,Mood,Dreams,-
M00041,Talk to Me: Sleep,Describe how long it typically takes you to fall asleep.,30,2,Talk to Me,Sleep,Feelings,Mood,Dreams,-
M00041,Talk to Me: Sleep,Describe how your body typically feels when you wake up.,60,3,Talk to Me,Sleep,Feelings,Mood,Dreams,-
M00042,It's Bedtime,Describe what you do before bed and what time that typically happens.,60,1,(free form name),Sleep,Relationships,Physiology,Self-love,-
M00042,It's Bedtime,Describe the physical details of your sleep environment.,60,2,(free form name),Sleep,Relationships,Physiology,Self-love,-
M00042,It's Bedtime,Describe your ideal conditions for sleep.,30,3,(free form name),Sleep,Relationships,Physiology,Self-love,-
M00043,My Sleep is...not good,To what extent are your current sleep conditions ideal or not ideal for you?,60,1,(free form name),Sleep,Feelings,Mood,Dreams,Anxiety
M00043,My Sleep is...not good,Describe the disruption to your sleep routine.,60,2,(free form name),Sleep,Feelings,Mood,Dreams,Anxiety
M00043,My Sleep is...not good,Describe your mood during and the day following sleep disruptions.,60,3,(free form name),Sleep,Feelings,Mood,Dreams,Anxiety
M00044,Talk to Me: Relationships,What do you think it means to have a connection with someone?,90,1,Talk to Me,Relationships,Love,Being Social,Feelings,Feeling Safe
M00044,Talk to Me: Relationships,Name one person who you feel very connected to.,60,2,Talk to Me,Relationships,Love,Being Social,Feelings,Feeling Safe
M00044,Talk to Me: Relationships,Describe the first time you realized that you had a connection with this person.,90,3,Talk to Me,Relationships,Love,Being Social,Feelings,Feeling Safe
M00045,Being a Partner,Describe a time where you were a good partner to someone.,90,1,(free form name),Relationships,Love,Feelings,Compassion,Empathy
M00045,Being a Partner,Describe a time where you know you've been difficult with a romantic partner.,120,2,(free form name),Relationships,Love,Feelings,Compassion,Empathy
M00045,Being a Partner,In which ways would you like to be a better partner?,120,3,(free form name),Relationships,Love,Feelings,Compassion,Empathy
M00046,When I was young...,Describe your relationship with your parents/primary caregivers through time.,90,1,(free form name),Relationships,Family,Care Team,,
M00046,When I was young...,Describe how your parental relationships have affected your other relationships.,60,2,(free form name),Relationships,Family,Care Team,,
M00046,When I was young...,Describe your relationship with your parents/primary caregivers during childhood.,180,3,(free form name),Relationships,Family,Care Team,,
M00047,Reflect On: Friendship,How would you describe yourself as a friend?,60,1,Reflect on,Relationships,Compassion,Being Social,Empathy,
M00047,Reflect On: Friendship,Describe a time when you were a good friend to someone.,60,2,Reflect on,Relationships,Compassion,Being Social,Empathy,-
M00047,Reflect On: Friendship,Describe a time when you have been difficult to be friends with.,160,3,Reflect on,Relationships,Compassion,Being Social,Empathy,-
M00047,Reflect On: Friendship,In which ways would you like to be a better friend?,120,4,Reflect on,Relationships,Compassion,Being Social,Empathy,-
M00048,Thank you for Being a Friend,Describe your best friend.,60,1,(free form name),Relationships,Being Social,,,
M00048,Thank you for Being a Friend,Describe your best friend from childhood.,60,2,(free form name),Relationships,Being Social,,,
M00048,Thank you for Being a Friend,What qualities about your current friends most annoy you.,90,3,(free form name),Relationships,Being Social,,,
M00049,Future Friends,To what extent do you think the friends you have now will be your friends for life?,90,2,Future Me,Relationships,Being Social,,,
M00049,Future Friends,Where would you most like to be with your friends?,30,1,Future Me,Relationships,Being Social,,,
M00049,Future Friends,Describe the ideal activities you would engage in with friends?,120,3,Future Me,Relationships,Being Social,,,
M00050,Reflect on Loneliness,To what extent do you feel like you have a companion in life?,60,1,Reflect on,Relationships,Mood,Feeling Safe,Purpose,-
M00050,Reflect on Loneliness,To what extent do you feel lonely?,60,2,Reflect on,Relationships,Mood,Feeling Safe,Purpose,
M00050,Reflect on Loneliness,Describe a time where you felt lonely.,30,3,Reflect on,Relationships,Mood,Feeling Safe,Purpose,
M00050,Reflect on Loneliness,Describe a time where you did not feel lonely.,30,4,Reflect on,Relationships,Mood,Feeling Safe,Purpose,
M00050,Reflect on Loneliness,Describe what lonely feels like in your body.,60,5,Reflect on,Relationships,Mood,Feeling Safe,Purpose,
M00051,Managing Loneliness,What do you currently need that would make you feel less lonely?,60,1,Managing,Relationships,Mood,Feeling Safe,,
M00051,Managing Loneliness,To what extent do you feel like you will be lonely for an extended period of time.,60,2,Managing,Relationships,Mood,Feeling Safe,,
M00051,Managing Loneliness,What types of connections do you seek to make you feel less lonely?,90,3,Managing,Relationships,Mood,Feeling Safe,,
M00052,Caring for Aging Parents,Describe your relationship to your aging parents or caregivers.,120,3,(free form name),Relationships,Family,Retirement,Care Team,Aging
M00052,Caring for Aging Parents,Are you providing the relationship with your aging parent(s) that you yourself would hope for.,60,1,(free form name),Relationships,Family,Retirement,Care Team,Aging
M00052,Caring for Aging Parents,What support aren't you getting that would help improve how you care for your aging parents?,120,2,(free form name),Relationships,Family,Retirement,Care Team,Aging
M00053,My Social Life,What do you enjoy doing socially?,60,1,(free form name),Being Social,Anxiety,Stress,Identity,
M00053,My Social Life,Describe your feelings leading up to a social event or meeting.,60,2,(free form name),Being Social,Anxiety,Stress,Identity,
M00053,My Social Life,Describe a time where you avoided people or an event that you once looked forward to.,60,3,(free form name),Being Social,Anxiety,Stress,Identity,
M00054,Living With: Long Distance Love,Describe your long distance relationship? How long have you been dating?,90,1,Living with,Relationships,Mood,Being Social,Stress,Feelings
M00054,Living With: Long Distance Love,Describe the emotional stresses on a long distance relationship,60,2,Living with,Relationships,Mood,Being Social,Stress,Feelings
M00054,Living With: Long Distance Love,Explain any Pros or Cons of a long distance relationship,120,3,Living with,Relationships,Mood,Being Social,Stress,Feelings
M00055,Liviging with: Caregivers,Describe your situation as a primary caregiver for someone else.,60,1,Living with,Care Team,Relationships,Empathy,Compassion,Love
M00055,Liviging with: Caregivers,Describe any issues you have as the primary caregiver for someone else.,120,2,Living with,Care Team,Relationships,Empathy,Compassion,Love
M00055,Liviging with: Caregivers,Describe how being a caregiver has changed your life.,90,3,Living with,Care Team,Relationships,Empathy,Compassion,Love
M00056,Project: Just the Two of Us,Record a dual Lotic moment with the person you care for. What does a typical day look like?,300,1,Project,Care Team,Relationships,Empathy,Compassion,Love
M00057,Talk to Me: Dreams,How many dreams do you recall from last night?,30,1,Talk to Me,Dreams,Sleep,Feelings,Thoughts,Creativity
M00057,Talk to Me: Dreams,"Describe your dream in as much detail as you can recall. Describe important details about the characters, setting, actions, and feelings. Try to structure the dream with a beginning, middle, and end.",120,2,Talk to Me,Dreams,Sleep,Feelings,Thoughts,Creativity
M00057,Talk to Me: Dreams,Have you had this dream before? When?,30,3,Talk to Me,Dreams,Sleep,Feelings,Thoughts,Creativity
M00057,Talk to Me: Dreams,How did this dream make you feel? What emotions were generated?,120,4,Talk to Me,Dreams,Sleep,Feelings,Thoughts,Creativity
M00057,Talk to Me: Dreams,Do you connect this dream with important events or issues in your life? Please describe.,60,5,Talk to Me,Dreams,Sleep,Feelings,Thoughts,Creativity
M00058,Was that a Dream?!?,Describe what you remember from your dreams last night.,60,1,(free form name),Dreams,Sleep,Relationships,Feeling Safe,
M00058,Was that a Dream?!?,Share what happened in the dream. Who was in it? Where were you? What was the plot?,120,2,(free form name),Dreams,Sleep,Relationships,Feeling Safe,
M00058,Was that a Dream?!?,"Describe any have recurring dreams, nightmares or feelings you experience when sleeping.",60,3,(free form name),Dreams,Sleep,Relationships,Feeling Safe,
M00058,Was that a Dream?!?,Describe how your dreams make you feel when you think about them.,60,4,(free form name),Dreams,Sleep,Relationships,Feeling Safe,
M00059,Dream Report,Choose a recent dream that sticks in your mind.,60,1,(free form name),Dreams,Sleep,Relationships,,
M00059,Dream Report,Share what happened in the dream. Who was in it? Where were you? What was the plot?,60,2,(free form name),Dreams,Sleep,Relationships,,
M00059,Dream Report,Have you had this dream before and what do you think it means?,60,3,(free form name),Dreams,Sleep,Relationships,,
M00060,Managing Dreams,"If you could choose to dream about something, what would it be and why?",60,1,Managing,Dreams,Sleep,Self-love,Identity,
M00060,Managing Dreams,Describe some people you would like to be in your dreams.,60,2,Managing,Dreams,Sleep,Self-love,Identity,
M00060,Managing Dreams,To what extent do you prefer fantasy to reality in your dreams?,60,3,Managing,Dreams,Sleep,Self-love,Identity,
M00060,Managing Dreams,To what extent do you feel that your dreams are in your control?,60,4,Managing,Dreams,Sleep,Self-love,Identity,
M00060,Managing Dreams,To what extent would you like to control the dreams you have?,90,5,Managing,Dreams,Sleep,Self-love,Identity,
M00061,Project: My Dreams in Art,"Choose a dream for reflection and give it a name - ""This is the dream about…""",30,1,Project,Dreams,Sleep,Self-esteem,Creativity,
M00061,Project: My Dreams in Art,"Draw an image or images of your dream. What shapes, colors, compositions come to mind visually as you recall your dream? Use the ""dream imaging"" tool to record what comes.",180,2,Project,Dreams,Sleep,Self-esteem,Creativity,
M00061,Project: My Dreams in Art,"Pick out one symbol or element in your dream image. Free associate words or phrases, emotions, or thoughts that come to mind. (Amplification)",90,3,Project,Dreams,Sleep,Self-esteem,Creativity,
M00061,Project: My Dreams in Art,"What insights, guidance, or messages did your dream convey to you? What desires or fears did the dream reveal?",120,4,Project,Dreams,Sleep,Self-esteem,Creativity,
M00062,Planning a Dream,"Set an intention to remember your dreams by saying 3xs ""I remember my dreams""",30,1,(free form name),Dreams,Sleep,Routine,,
M00062,Planning a Dream,"If you need guidance or insight, pose a short and open-ended question.",30,2,(free form name),Dreams,Sleep,Routine,,
M00062,Planning a Dream,Consider meditating for 5-20 minutes before bed as this can help support dreaming and dream recall,30,3,(free form name),Dreams,Sleep,Routine,,
M00063,Talk to Me: Fear,Describe some of the fears you had as a child.,60,1,Talk to Me,Fear,Feeling Safe,Anxiety,Stress,Self-care
M00063,Talk to Me: Fear,Describe some of the fears you have as an adult.,60,2,Talk to Me,Fear,Feeling Safe,Anxiety,Stress,Self-care
M00063,Talk to Me: Fear,When’s the last time you experienced fear?,90,3,Talk to Me,Fear,Feeling Safe,Anxiety,Stress,Self-care
M00063,Talk to Me: Fear,What actions have you taken in response to your fears?,60,4,Talk to Me,Fear,Feeling Safe,Anxiety,Stress,Self-care
M00064,Reflect on Fears,Describe the feeling of the fear that you've experienced.,90,1,Reflect on,Fear,Feeling Safe,Anxiety,Stress,
M00064,Reflect on Fears,Describe a fear you have of something that you may not have experienced in real life.,90,2,Reflect on,Fear,Feeling Safe,Anxiety,Stress,
M00064,Reflect on Fears,What do you think the source of your fears is?,60,3,Reflect on,Fear,Feeling Safe,Anxiety,Stress,
M00065,Living with Fear,Describe how fear dictates your daily activities.,120,3,Living with,Fear,Feeling Safe,Anxiety,Stress,Confidence
M00065,Living with Fear,Are their opportunities you are missing out on due to your fear?,60,2,Living with,Fear,Feeling Safe,Anxiety,Stress,Confidence
M00065,Living with Fear,Describe the last time you were faced with your fear.,90,1,Living with,Fear,Feeling Safe,Anxiety,Stress,Confidence
M00066,Talk to Me: Feeling Safe,Describe the feeling of security to you.,60,1,Talk to Me,Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00066,Talk to Me: Feeling Safe,What makes you feel secure?,60,2,Talk to Me,Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00066,Talk to Me: Feeling Safe,What don't you have currently that you need to feel secure?,60,3,Talk to Me,Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00066,Talk to Me: Feeling Safe,To what extent is the space you are currently living in ideal or not ideal?,120,4,Talk to Me,Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00067,My Safe Place,Describe some of the places or people that affect your personal security.,60,1,(free form name),Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00067,My Safe Place,"If you could, what would you add to your life to increase your feeling of safety and security?",60,2,(free form name),Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00067,My Safe Place,"If you could, what would you remove to feel more secure?",60,3,(free form name),Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00067,My Safe Place,"Using the five senses, describe a place you've been that makes you happy.",180,1,(free form name),Feeling Safe,Confidence,Anxiety,Stress,Relationships
M00068,"Future Me, Safe Me","If money were not an option, describe the details of your ideal living space.",120,5,Future Me,Feeling Safe,Confidence,Anxiety,Stress,
M00068,"Future Me, Safe Me","If money were not an option, describe where in the world you'd most like to live.",60,6,Future Me,Feeling Safe,Confidence,Anxiety,Stress,
M00068,"Future Me, Safe Me",What do you require from the space you live in?,60,3,Future Me,Feeling Safe,Confidence,Anxiety,Stress,
M00068,"Future Me, Safe Me",What do you desire from the space you live in?,60,2,Future Me,Feeling Safe,Confidence,Anxiety,Stress,
